symbol,factor,horizon,Spearman_IC,p_value,N
BTCUSDT,directional_friction,1,0.0040541588299171805,0.3260616861878958,58682
BTCUSDT,directional_friction,5,0.017759694336744583,1.6905354279584922e-05,58678
BTCUSDT,directional_friction,10,0.026123670554241165,2.471488808600701e-10,58673
BTCUSDT,directional_friction,20,0.03568450750110499,5.356271044765218e-18,58663
BTCUSDT,directional_friction_resid,1,0.006231261696965068,0.1311796721615674,58682
BTCUSDT,directional_friction_resid,5,0.02105693092115415,3.3752194925088634e-07,58678
BTCUSDT,directional_friction_resid,10,0.02927803403207053,1.3100402939986596e-12,58673
BTCUSDT,directional_friction_resid,20,0.03924790387329955,1.9162069846825486e-21,58663
BTCUSDT,response_z,1,0.015784961574555587,0.00013132313599396997,58682
BTCUSDT,response_z,5,0.01328687527306864,0.0012880666025488732,58678
BTCUSDT,response_z,10,0.010408315068200417,0.01169654118242923,58673
BTCUSDT,response_z,20,0.007279128763759458,0.07789657153294935,58663
BTCUSDT,momentum_24,1,-0.03409764456057231,1.3726624440518006e-16,58752
BTCUSDT,momentum_24,5,-0.04342602553505322,6.260948824854185e-26,58748
BTCUSDT,momentum_24,10,-0.04186797548286109,3.254484297496035e-24,58743
BTCUSDT,momentum_24,20,-0.04092158883368559,3.3652387892734335e-23,58733
ETHUSDT,directional_friction,1,0.0010243686192726537,0.8040248480990904,58682
ETHUSDT,directional_friction,5,0.012004282219830159,0.0036385862643413362,58678
ETHUSDT,directional_friction,10,0.018034920086099707,1.2494680491815276e-05,58673
ETHUSDT,directional_friction,20,0.02617166122134918,2.2999818782258387e-10,58663
ETHUSDT,directional_friction_resid,1,0.0031301435257539913,0.44830541055375,58682
ETHUSDT,directional_friction_resid,5,0.014794228857500192,0.0003386235733381839,58678
ETHUSDT,directional_friction_resid,10,0.020696464408894142,5.34117195844508e-07,58673
ETHUSDT,directional_friction_resid,20,0.028170831484274364,8.834900118665771e-12,58663
ETHUSDT,response_z,1,0.008482220966565398,0.03990242310652875,58682
ETHUSDT,response_z,5,0.01357013928901577,0.0010117106639938548,58678
ETHUSDT,response_z,10,0.008624198183011845,0.03670847731045643,58673
ETHUSDT,response_z,20,0.011759259192985903,0.004396966229248301,58663
ETHUSDT,momentum_24,1,-0.03169488360309324,1.5391974596078007e-14,58752
ETHUSDT,momentum_24,5,-0.039547447283076756,8.889795287167988e-22,58748
ETHUSDT,momentum_24,10,-0.037893694783932785,4.025185530358042e-20,58743
ETHUSDT,momentum_24,20,-0.030145223923356036,2.72832281887966e-13,58733
SOLUSDT,directional_friction,1,-0.0010494855439329655,0.808494446514261,53336
SOLUSDT,directional_friction,5,0.00723278938090418,0.09485943495844343,53332
SOLUSDT,directional_friction,10,0.011599876912690342,0.007389862930854578,53327
SOLUSDT,directional_friction,20,0.012851545895787927,0.0030019726486843596,53317
SOLUSDT,directional_friction_resid,1,0.00023907384897849164,0.9559697063399095,53336
SOLUSDT,directional_friction_resid,5,0.00896941549827986,0.038324699082276474,53332
SOLUSDT,directional_friction_resid,10,0.013760557861144065,0.0014842165906313505,53327
SOLUSDT,directional_friction_resid,20,0.014863866891945608,0.0005986032632615338,53317
SOLUSDT,response_z,1,0.005859922624619149,0.17595824628312726,53336
SOLUSDT,response_z,5,0.008744893220106879,0.043433967621435386,53332
SOLUSDT,response_z,10,0.010173513457177975,0.01880680017000901,53327
SOLUSDT,response_z,20,0.010256984299560939,0.01786554322348643,53317
SOLUSDT,momentum_24,1,-0.02479930468849272,9.936941656835344e-09,53406
SOLUSDT,momentum_24,5,-0.0323960780753297,6.984662511868194e-14,53402
SOLUSDT,momentum_24,10,-0.034624451591624514,1.212681086215315e-15,53397
SOLUSDT,momentum_24,20,-0.03224054964936686,9.253457473410988e-14,53387
